Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 как ен азар ирт илачиркорп;морту; прокричали три раза, не как ; утром ; « ;победа», а вроде как бы ;М. М. Пришвин. Кладовая солнца (1945) ;М. М. Пришвин ;1873 ;Кладовая солнца ;1945 ;художественная ;повесть ; ;М. Пришвин. «Зеленый шум». Сборник ;1983 ;книга ;омонимия снята; И журавли прокричали три раза, не как утром «победа», а вроде как бы:  [М. М. Пришвин. Кладовая солнца (1945)] [омонимия снята]
 кат тов еж теавыб А;морту; А бывает же, вот так ; утром ;  ;побреешься, умоешься, оденешься _ заглянешь в ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята; А бывает же, вот так утром побреешься, умоешься, оденешься _ заглянешь в зеркало _ останешься довольным…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 яндогес асуботва меьнедис доп имакинпутсерп;морту; преступниками под сиденьем автобуса, сегодня ; утром ;  ;погибли двое и ранены семь ;Террористы взорвали автобус в отместку за казнь Амаля Кази (2002) // «Известия», 2002.11.15 ; ; ;Террористы взорвали автобус в отместку за казнь Амаля Кази ;2002 ;публицистика, нехудожественная ;информационное сообщение ;криминал ;«Известия» ;2002.11.15 ;газета ;омонимия снята;  В пакистанском городе Хайдерабад (провинция Синд) при взрыве бомбы, заложенной неизвестными преступниками под сиденьем автобуса, сегодня утром погибли двое и ранены семь человек.  [Террористы взорвали автобус в отместку за казнь Амаля Кази (2002) // «Известия», 2002.11.15] [омонимия снята]
 онар и йенолбя йенжилб доп;морту; под ближней яблоней и рано ; утром ;  ;под неодобрительные взгляды соседей уезжала ;Алексей Варламов. Купавна // «Новый Мир», 2000 ;Алексей Варламов ;1963 ;Купавна ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Потом она отправлялась кататься на стареньком дамском велосипеде и купалась в тихом и тёплом вечернем озере, хорошенько ужинала, рано ложилась спать на раскладушке под ближней яблоней и рано утром под неодобрительные взгляды соседей уезжала в Москву.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]
 ;мортУ;  ; Утром ;  ;под огнём противника боец из ;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 2 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята; Утром под огнём противника боец из второго эшелона приносил ему термос с молоком.  [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
 йен с яславолец навИ аречв;морту; вчера Иван целовался с ней ; утром ;  ;под теплым и легким одеялом ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята;  Неужели только вчера Иван целовался с ней утром под теплым и легким одеялом, трогал ее и тискал, и прижимался, и его жесткая нога придавливала ее ноги, и потом он пошел в ванную, даже не подумав надеть трусы, а потом гладил собаку Тяпу, и от того, как двигались его большие руки, у Варвары мутилось в голове и становилось как-то холодно в спине?!  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 гурдв он адгесв как ёсв;морту; всё как всегда, но вдруг ; утром ;  ;подул самый обыкновенный ветер, бросились ;Б. А. Пильняк. Простые рассказы (1923) ;Б. А. Пильняк ;1894 ;Простые рассказы ;1923 ;художественная ;рассказ ; ; ; ;книга ;омонимия снята; Всё ещё лето, всё как всегда, но вдруг утром подул самый обыкновенный ветер, бросились в глаза красные листья виноградника, которые уже появились недели три, _ и вдруг сразу чувствуешь, что осень, сразу меняется настроение и начинаешь собираться домой, в город.  [Б. А. Пильняк. Простые рассказы (1923)] [омонимия снята]
 а ротялози йынрегал в ьчон;морту; ночь в лагерный изолятор, а ; утром ;  ;поедем дальше.  ;В. Т. Шаламов. Колымские рассказы (1954-1961) ;В. Т. Шаламов ;1907 ;Колымские рассказы ;1954-1961 ;художественная ;рассказ, цикл ; ;Шаламов В.Т. Собр. соч.  ;1998 ;книга ;омонимия снята;  _ Вас поместят на ночь в лагерный изолятор, а утром поедем дальше.  [В. Т. Шаламов. Колымские рассказы (1954-1961)] [омонимия снята]
 йучон йаваД  от тётем иртомс;морту; смотри, метёт-то!  Давай ночуй, ; утром ;  ;поедешь, нечего!   _ Утром пока доберёшься ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; _ Ты смотри, метёт-то!  Давай ночуй, утром поедешь, нечего!   _ Утром пока доберёшься, _ бормотал я, поеживаясь.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 йучон йаваД ;морту;  Давай ночуй, ; утром ;  ;поедешь, нечего!   _ Утром пока доберёшься ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Давай ночуй, утром поедешь, нечего!   _ Утром пока доберёшься, _ бормотал я, поеживаясь.  _ День насмарку…  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 онар иинереман мёовс в йыдрёвт;морту; твёрдый в своём намерении, рано ; утром ;  ;поехал к Муромскому, дабы откровенно ;А. С. Пушкин. Барышня-крестьянка (1830) ;А. С. Пушкин ;1799 ;Барышня-крестьянка ;1830 ;художественная ;повесть ; ;А. Пушкин. Полное собрание сочинений ;1937-1949 ;книга ;омонимия снята;  На другой день Алексей, твёрдый в своём намерении, рано утром поехал к Муромскому, дабы откровенно с ним объясниться.  [А. С. Пушкин. Барышня-крестьянка (1830)] [омонимия снята]
 илсе ;морту;   если ; утром ;  ;позавтракать, то сникерс между уроками ;Наши дети: Подростки (2004) ; ; ;Наши дети: Подростки ;2004 ;электронная коммуникация, нехудожественная ;форум ;частная жизнь ; ;2004 ;электронный текст ;омонимия снята;  если утром позавтракать, то сникерс между уроками для меня бОльшая еда нежели чипсы или хуба-буба: -) а если прям-таки не принято в школу брать бутерброд, то я бы в таком случае своего сына завтракать заставляла _ постаралась бы найти как это сделать, к примеру договорились бы что он по утрам предпочтёт (бутерброд с колбасой или сыром или и то и другое или хлеб с мёдом  / мой любит /) и придерживались бы такого договора _ я покупаю, что он любит _ он ест (а не переводит продукты и не губит свой желудок)… понимаю, что советовать легче, чем добиться желаемого, но вы своего сына знаете лучше и я так думаю вам легче придумать как построить с ним разговор насчёт завтраков и обедов… начните с ним говорить на эту тему (как с товарищем!)…возможно вы  его только ругаете (так делала моя мама _ она не обьясняла зачем это надо делать, а просто ругала, причём с оскорбительными словечками _ после этого делать как она просит не хотелось… я вам ни в коей мере не приписываю такое поведение, просто иногда мы сами (и я тоже) не замечаем, как делаем что-то неправильно, а возможно просто стоит перейти на новую форму общения со своим подросшим  ребёнком и он вас услышит и даже прислушается…)  [Наши дети: Подростки (2004)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;позанимаетесь с Яковлевым, а потом ;Валерий Медведев. Баранкин, будь человеком! (1957) ;Валерий Медведев ;1923 ;Баранкин, будь человеком! ;1957 ;художественная ;повесть ; ;Медведев Е. Баранкин, будь человеком! ;1990 ;книга ;омонимия снята; Утром позанимаетесь с Яковлевым, а потом придёте в школьный сад _ будем сажать деревья!  [Валерий Медведев. Баранкин, будь человеком! (1957)] [омонимия снята]
 онаР  ииротси еиксечитсатнаф тядохсиорп йобот;морту; тобой происходят фантастические истории…   Рано ; утром ;  ;позвонил мой брат.  Настроение у ;Сергей Довлатов. Чемодан (1986) ;Сергей Довлатов ;1941 ;Чемодан ;1986 ;художественная ;рассказ ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята;  _ Вечно с тобой происходят фантастические истории…   Рано утром позвонил мой брат.  Настроение у меня было гнусное.  [Сергей Довлатов. Чемодан (1986)] [омонимия снята]
 ;мортУ;   ; Утром ;  ;позвонил муж и холодно сказал ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята;  Утром позвонил муж и холодно сказал, что не сможет поехать с ними в отпуск.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 яндогес он аречв алировог ен;морту; не говорила вчера, но сегодня ; утром ;  ;позвонила…  ;Юрий Трифонов. Обмен (1969) ;Юрий Трифонов ;1925 ;Обмен ;1969 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т. ;1978 ;книга ;омонимия снята; Второй день лежит, я уж тебе не говорила вчера, но сегодня утром позвонила…  [Юрий Трифонов. Обмен (1969)] [омонимия снята]
  1002 яам 92 адзеъто ьнед;мортУ; день отъезда, 29 мая 2001.   ; Утром ;  ;позвонила Таня, приехавшая из Питера ;Отчёт о велосипедном походе (2001) ; ; ;Отчёт о велосипедном походе ;2001 ;публицистика, нехудожественная ;отчет ;путешествия ; ; ;рукопись ;омонимия снята;  В день отъезда, 29 мая 2001.   Утром позвонила Таня, приехавшая из Питера.  Опять переупаковка_ выкидываем Ангар.  [Отчёт о велосипедном походе (2001)] [омонимия снята]
 артваз мав ыМ  етйанимопаз йечолем;морту; мелочей запоминайте.  Мы вам завтра ; утром ;  ;позвоним.   Этого, подумал я, мне ;Сергей Довлатов. Чемодан (1986) ;Сергей Довлатов ;1941 ;Чемодан ;1986 ;художественная ;рассказ ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята; И всё до мелочей запоминайте.  Мы вам завтра утром позвоним.   Этого, подумал я, мне только не хватало!  [Сергей Довлатов. Чемодан (1986)] [омонимия снята]
 йе ясладагод ядолоВ ыб илсе;морту; если бы Володя догадался ей ; утром ;  ;позвонить.  ;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 2 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; Но опять всё, вероятно, сошло бы, если бы Володя догадался ей утром позвонить.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;поздно уже, переспав два раза ;А. В. Дружинин. Русские в Японии в конце 1853 и в начале 1854 годов (1855) ;А. В. Дружинин ;1824 ;Русские в Японии в конце 1853 и в начале 1854 годов ;1855 ;публицистика, нехудожественная ;статья ;искусство и культура ; ; ;книга ;омонимия снята;" Утром поздно уже, переспав два раза срок, путешественник вдруг освобождает с трудом свою голову из-под спуда подушек, вскакивает с причёской a l'imbecile и дико озирается по сторонам, думая:"" Что это за деревья, откуда они взялись и зачем он сам тут?  [А. В. Дружинин. Русские в Японии в конце 1853 и в начале 1854 годов (1855)] [омонимия снята]"
 А ;морту;  А ; утром ;  ;поищет работу возле дома _ всё ;Токарева Виктория. Своя правда // «Новый Мир», 2002 ;Токарева Виктория ;1937 ;Своя правда ;2002 ;художественная ;повесть ; ;«Новый Мир» ;2002 ;журнал ;омонимия снята; А утром поищет работу возле дома _ всё равно кем, хоть сторожихой.  [Токарева Виктория. Своя правда // «Новый Мир», 2002] [омонимия снята]
 ыб ошорох отч ламудоп я;морту; я подумал, что хорошо бы ; утром ;  ;пойти в гости к Медвежонку ;Сергей Козлов. Правда, мы будем всегда? (1969-1981) ;Сергей Козлов ;1939 ;Правда, мы будем всегда? ;1969-1981 ;художественная ;сказка, цикл ; ; ; ;книга ;омонимия снята;  _ А когда я засыпал, _ сказал Заяц, _ я подумал, что хорошо бы утром пойти в гости к Медвежонку…  [Сергей Козлов. Правда, мы будем всегда? (1969-1981)] [омонимия снята]
 ьтидохирп адюс алибюл анО ;морту;  Она любила сюда приходить ; утром ;,  ;пока ещё народа нет.  ;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 2 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; Она любила сюда приходить утром, пока ещё народа нет.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)] [омонимия снята]
 еж артваз еинатссоВ ;морту;  Восстание завтра же ; утром ;,  ;"пока не прибыла ""зондеркоманда"".  ";Анатолий Рыбаков. Тяжелый песок (1975-1977) ;Анатолий Рыбаков ;1911 ;Тяжелый песок ;1975-1977 ;художественная ;роман ; ;Рыбаков А. Тяжелый песок. ;1982 ;книга ;омонимия снята;" Восстание завтра же утром, пока не прибыла ""зондеркоманда"".  [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]"
 миннар миннар ыцисонорим ынёж мовотсирХ;морту; Христовом жёны-мироносицы ранним-ранним ; утром ;  ;покинули гроб, в котором был ;митрополит Антоний (Блум). О Марии Магдалине (1968) ;митрополит Антоний (Блум) ;1914 ;О Марии Магдалине ;1968 ;церковно-богословская, нехудожественная ;проповедь ;религия ;Антоний (Блум), митрополит Сурожский. Труды ;2002 ;книга ;омонимия снята;  Вот с этой радостью о Воскресении Христовом жёны-мироносицы ранним-ранним утром покинули гроб, в котором был положен Иисус (Мк 16: 1-8).  [митрополит Антоний (Блум). О Марии Магдалине (1968)] [омонимия снята]
 ьнед йогурд аН ;морту;   На другой день ; утром ;,  ;получив приказание от высшего начальства ;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;М. Ю. Лермонтов ;1814 ;Герой нашего времени ;1839-1841 ;художественная ;роман ; ;М.Ю. Лермонтов. Собрание сочинений в 4 томах ;1958 ;книга ;омонимия снята;  На другой день утром, получив приказание от высшего начальства отправиться в крепость Н., я зашёл к княгине проститься.  [М. Ю. Лермонтов. Герой нашего времени (1839-1841)] [омонимия снята]
 тнемуртсни ьсев кодяроп йокат еткеъбо;морту; объекте такой порядок: весь инструмент ; утром ;  ;получили, вечером сдали.  ;Александр Солженицын. Один день Ивана Денисовича (1961) ;Александр Солженицын ;1918 ;Один день Ивана Денисовича ;1961 ;художественная ;рассказ ; ;Солженицын А.И. На краях ;2000 ;книга ;омонимия снята; Однако на каждом объекте такой порядок: весь инструмент утром получили, вечером сдали.  [Александр Солженицын. Один день Ивана Денисовича (1961)] [омонимия снята]
 миннар окьлот оге лёшаН ;морту;  Нашёл его только ранним ; утром ;  ;помешанный на оздоровительном беге сосед ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Нашёл его только ранним утром помешанный на оздоровительном беге сосед, который вышел в седьмом часу совершать свои спортивные подвиги.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 ьтох кат маречев оп ен;морту; не по вечерам, так хоть ; утром ;  ;порядок был мягкий: заключённый расстегивал ;Александр Солженицын. Один день Ивана Денисовича (1961) ;Александр Солженицын ;1918 ;Один день Ивана Денисовича ;1961 ;художественная ;рассказ ; ;Солженицын А.И. На краях ;2000 ;книга ;омонимия снята;  В мороз на простом шмоне не по вечерам, так хоть утром порядок был мягкий: заключённый расстегивал бушлат и отводил его полы в стороны.  [Александр Солженицын. Один день Ивана Денисовича (1961)] [омонимия снята]
 А ;морту;  А ; утром ;,  ;поскольку маршруты у них с ;Н. Леонов, А. Макеев. Ментовская крыша (2004) ;Н. Леонов, А. Макеев ;1933 ;Ментовская крыша ;2004 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Ментовская крыша ;2004 ;книга ;омонимия не снята; А утром, поскольку маршруты у них с Гуровым на сегодняшний день не совпадали, Крячко для разнообразия выбрал пеший вариант передвижения, чтобы разогнать остатки тумана, образовавшиеся в голове после вчерашнего вечера.  [Н. Леонов, А. Макеев. Ментовская крыша (2004)] [омонимия не снята]
 ;мортУ;   ; Утром ;  ;после бессонной ночи Печенегин охрипшим ;Алексей Слаповский. Гибель гитариста (1994-1995) ;Алексей Слаповский ;1957 ;Гибель гитариста ;1994-1995 ;художественная ;повесть ; ;Слаповский А. День денег ;2000 ;книга ;омонимия снята;  Утром после бессонной ночи Печенегин охрипшим голосом спросил:  [Алексей Слаповский. Гибель гитариста (1994-1995)] [омонимия снята]
 ондаЛ юуворим ан лёшоп ветсаГ;морту;" Гастев пошёл на мировую: ""Ладно, "; утром ;,  ;"после боя…"" А утром _ осколком ";Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997 ;Анатолий Азольский ;1930 ;Облдрамтеатр ;1997 ;художественная ;повесть ; ;«Новый Мир» ;1997 ;журнал ;омонимия снята;" Однажды у особиста лопнуло терпение, свалился на Гастева в окопе, потребовал немедленного ухода с передовой, приказ уже подписан, и Гастев пошёл на мировую: ""Ладно, утром, после боя…"" А утром _ осколком задело плечо.  [Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997] [омонимия снята]"
 ончотатсоД ;морту;   Достаточно ; утром ;  ;после еды одной таблетки поливитаминов ;И. Покровская, М. Алексейкина. По волосам не плачут (1999) // «Здоровье», 1999.03.15 ;И. Покровская, М. Алексейкина ; ;По волосам не плачут ;1999 ;публицистика, нехудожественная ;статья ;здоровье и медицина ;«Здоровье» ;1999.03.15 ;журнал ;омонимия снята;  Достаточно утром после еды одной таблетки поливитаминов, в которых присутствуют витамины группы В, никотиновая кислота и комплекс микроэлементов: кальций, магний, селен, цинк, а также метионин.  [И. Покровская, М. Алексейкина. По волосам не плачут (1999) // «Здоровье», 1999.03.15] [омонимия снята]
 ;мортУ;   ; Утром ;,  ;после завтрака, Бах писал письмо ;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 2 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята;  Утром, после завтрака, Бах писал письмо матери.  [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
 тов И ;морту;  И вот ; утром ;  ;после завтрака пошёл я в ;Ю. О. Домбровский. Факультет ненужных вещей, часть 4 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 4 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; И вот утром после завтрака пошёл я в красный уголок и написал цидулю.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 4 (1978)] [омонимия снята]
 еенйокопс кат ьтавыдалксар йетед ялд;морту; для «детей» раскладывать_ так спокойнее, ; утром ;  ;после завтрака разъезжаются по домам ;Наши дети: Подростки (2004) ; ; ;Наши дети: Подростки ;2004 ;электронная коммуникация, нехудожественная ;форум ;частная жизнь ; ;2004 ;электронный текст ;омонимия снята; Мне тоже приходилось пару спальных мешков и матрасов для «детей» раскладывать_ так спокойнее, утром после завтрака разъезжаются по домам.  [Наши дети: Подростки (2004)] [омонимия снята]
 ;мортУ;   ; Утром ;,  ;после короткого, но содержательного совещания ;Н. Леонов, А. Макеев. Эхо дефолта (2000-2004) ;Н. Леонов, А. Макеев ;1933 ;Эхо дефолта ;2000-2004 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Эхо дефолта ;2004 ;книга ;омонимия не снята;  Утром, после короткого, но содержательного совещания все в той же кухне, было решено, что Стас сегодня занимается исключительно девушками, если ему так уж этого хотелось накануне.  [Н. Леонов, А. Макеев. Эхо дефолта (2000-2004)] [омонимия не снята]
 онаР ;морту;  Рано ; утром ;,  ;после тёплой постели, когда за ;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 3 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята; Рано утром, после тёплой постели, когда за окном стоял холодный мутный сумрак, он испытывал обычно чувство детской беспомощности перед огромной силой, навалившейся на него, хотелось залезть под одеяло, сжаться, зажмуриться, замереть.  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
 как мот О ;морту;  О том, как ; утром ;  ;после этого празднества Чуйков и ;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 3 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята; О том, как утром после этого празднества Чуйков и его соратники едва все не утонули мертвецки пьяными в волжских полыньях и были вытащены бойцами из воды.  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
 А  утанмок юукстед в сав;морту; вас в детскую комнату.  А ; утром ;  ;посмотрим.   _ Дяденька, а как вы ;Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й школы (1971) ;Марк Сергеев ;1926 ;Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й школы ;1971 ;художественная ;повесть ; ;Сергеев Марк. Волшебная галоша ;1971 ;книга ;омонимия снята; А пока до утра я отведу вас в детскую комнату.  А утром посмотрим.   _ Дяденька, а как вы нас увидели?  [Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й школы (1971)] [омонимия снята]
  типс ьтсуп ондал уН ;мортУ;  Ну ладно, пусть спит.  ; Утром ;  ;посмотрим.   Наутро он разглядел его ;Ю. О. Домбровский. Факультет ненужных вещей, часть 4 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 4 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; Ну ладно, пусть спит.  Утром посмотрим.   Наутро он разглядел его как следует.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 4 (1978)] [омонимия снята]
 линовз но ьшидив и хищядохв;морту; входящих и видишь: он звонил ; утром ;,  ;потом днем… вечером… ночью…  ;Татьяна Тронина. Никогда не говори «навсегда» (2004) ;Татьяна Тронина ; ;Никогда не говори «навсегда» ;2004 ;художественная ;роман ; ;Татьяна Тронина. Никогда не говори «навсегда» ;2004 ;книга ;омонимия не снята; Конечно, телефон не звонит, когда Личутин мой номер набирает, но все равно _ начинаешь просматривать список входящих и видишь: он звонил утром, потом днем… вечером… ночью…  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]
 А ;морту;  А ; утром ;  ;пошёл в бой за эту ;И. Э. Кио. Иллюзии без иллюзий (1995-1999) ;И. Э. Кио ;1944 ;Иллюзии без иллюзий ;1995-1999 ;публицистика, нехудожественная ;мемуары ; ;Игорь Кио. Иллюзии без иллюзий ;1999 ;книга ;омонимия снята; А утром пошёл в бой за эту деревню _ и снова судьба его хранила…  [И. Э. Кио. Иллюзии без иллюзий (1995-1999)] [омонимия снята]
 онар но елазков ан вавечонереП;морту; Переночевав на вокзале, он рано ; утром ;  ;пошёл в сторону дома.  ;Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989 ;Василий Гроссман ;1905 ;Все течет ;1955-1963 ;художественная ;повесть ; ;«Октябрь» ;1989 ;журнал ;омонимия снята;  Переночевав на вокзале, он рано утром пошёл в сторону дома.  [Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989] [омонимия снята]
 ьнед йогурд ан и ёьжур;морту; ружьё и на другой день ; утром ;  ;пошёл к лабазу на речку ;Юрий Коваль. Лабаз (1972) ;Юрий Коваль ;1938 ;Лабаз ;1972 ;художественная ;рассказ ; ;Юрий Коваль. Солнечное пятно ;2002 ;книга ;омонимия снята;  Пронька взял мешок и ружьё и на другой день утром пошёл к лабазу на речку Чурол.  [Юрий Коваль. Лабаз (1972)] [омонимия снята]
  тел корос в ен ил;мортУ; ли не в сорок лет.   ; Утром ;  ;"появилась женщина.  Она вошла… ""  ";Василий Аксенов. Пора, мой друг, пора (1963) ;Василий Аксенов ;1932 ;Пора, мой друг, пора ;1963 ;художественная ;роман ; ;Аксенов В. Пора, мой друг, пора ;1965 ;книга ;омонимия снята;" Как мало я его видел в той его прежней жизни, он и родил-то меня чуть ли не в сорок лет.   Утром появилась женщина.  Она вошла… ""  [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]"
 ;мортУ;   _ ; Утром ;  ;появилась женщина, _ сказал он, _ всё ;Василий Аксенов. Пора, мой друг, пора (1963) ;Василий Аксенов ;1932 ;Пора, мой друг, пора ;1963 ;художественная ;роман ; ;Аксенов В. Пора, мой друг, пора ;1965 ;книга ;омонимия снята;  _ Утром появилась женщина, _ сказал он, _ всё ясно.  [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
 яндогес йыроток кёнерап енм йымоканзен;морту; незнакомый мне паренёк, который сегодня ; утром ;  ;появился на съёмочной площадке.  ;Василий Аксенов. Пора, мой друг, пора (1963) ;Василий Аксенов ;1932 ;Пора, мой друг, пора ;1963 ;художественная ;роман ; ;Аксенов В. Пора, мой друг, пора ;1965 ;книга ;омонимия снята;  Там была Таня и ещё какие-то две девицы _ кажется, из массовки, Андрей Потанин _ исполнитель главной роли, администратор Нема, потом те трое из гостиницы и ещё какой-то незнакомый мне паренёк, который сегодня утром появился на съёмочной площадке.  [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;появлялся шеф-повар, спрашивал, что приготовить ;Даниил Гранин. Зубр (1987) ;Даниил Гранин ;1919 ;Зубр ;1987 ;художественная ;повесть ; ;Гранин Д.А. Зубр: Повесть ;1987 ;книга ;омонимия снята; Утром появлялся шеф-повар, спрашивал, что приготовить на обед, на ужин.  [Даниил Гранин. Зубр (1987)] [омонимия снята]
 ;мортУ;  ; Утром ;,  ;правда, нет, мы к семи ;Дарья Донцова. Уха из золотой рыбки (2004) ;Дарья Донцова ;1952 ;Уха из золотой рыбки ;2004 ;художественная ;роман ; ;Дарья Донцова. Уха из золотой рыбки ;2004 ;книга ;омонимия не снята; Утром, правда, нет, мы к семи приходим, а эта дрянь позже приезжает, небось, проституткой работает!  [Дарья Донцова. Уха из золотой рыбки (2004)] [омонимия не снята]
 отч умотоп теянов а ястеавыркто;морту; открывается, а воняет, потому что ; утром ;  ;практиканты бутыль с нашатырем разбили ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята;  _ Ну вот, _ сказал он, смущаясь Алины, _ окно не открывается, а воняет, потому что утром практиканты бутыль с нашатырем разбили.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
